               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.035608,            0.032581,           0.0094557,              0.9321,             0.94451,             0.96159,             0.46855,            0.035405,           0.0057083,          0.00016013,            0.001288,            0.001288,            0.001288
                  90,            0.035211,            0.032879,           0.0091002,             0.91829,             0.91923,             0.95231,             0.48404,            0.034509,           0.0055938,          0.00015945,            0.001189,            0.001189,            0.001189
                  91,            0.035005,            0.032763,           0.0087398,             0.91675,              0.9649,             0.97258,              0.4792,            0.035729,           0.0057526,          0.00012803,             0.00109,             0.00109,             0.00109
                  92,            0.035283,            0.032245,           0.0086002,             0.93118,             0.93981,             0.96917,             0.49423,             0.03468,           0.0055826,          0.00017211,            0.000991,            0.000991,            0.000991
                  93,            0.034954,            0.032466,           0.0089257,             0.92853,             0.92229,             0.94853,             0.47648,            0.035251,           0.0057571,          0.00014407,            0.000892,            0.000892,            0.000892
                  94,            0.034112,            0.032798,           0.0082566,             0.93184,             0.92146,             0.94021,             0.47349,            0.034756,           0.0056633,          0.00012109,            0.000793,            0.000793,            0.000793
                  95,            0.034078,            0.033167,           0.0076423,             0.94158,             0.93344,               0.966,             0.47362,            0.035615,           0.0056214,          0.00016247,            0.000694,            0.000694,            0.000694
                  96,            0.034039,            0.032668,            0.008294,             0.93138,             0.92051,             0.95595,             0.50217,            0.033882,           0.0054603,          0.00011003,            0.000595,            0.000595,            0.000595
                  97,            0.033742,            0.032208,           0.0079828,             0.93988,             0.92373,             0.95756,             0.49827,            0.034603,           0.0055014,          9.8331e-05,            0.000496,            0.000496,            0.000496
                  98,            0.033572,            0.032037,           0.0079624,             0.91258,             0.93697,             0.96638,             0.49208,            0.034661,           0.0054492,          8.3966e-05,            0.000397,            0.000397,            0.000397
                  99,             0.03326,            0.031405,           0.0078176,             0.89935,             0.94934,             0.96947,             0.49559,            0.034172,           0.0054711,          0.00010038,            0.000298,            0.000298,            0.000298
